village_id,village_name,district,state,lat,lon,elevation_m,slope_deg,distance_to_river_km,lulc_forest_pct,lithology_risk,rainfall_today_mm,rainfall_3day_mm,soil_moisture_pct,historical_landslide_count,glacial_lake_present,glacial_lake_area_km2,glacial_lake_growth_rate_pct_5yr,distance_to_glacial_lake_km,glacier_melt_index,moraine_dam_stability,traditional_knowledge_signal,traditional_knowledge_notes,nearest_shelter,shelter_lat,shelter_lon,data_provenance,label,weather_data_asof
V001,Joshimath,Chamoli,,30.5553,79.5644,1875,46.0,2.25,75.8,medium,6.1,45.5,54.8,0,True,1.014,60.5,14.7,0.64,medium,0,,Community Hall Joshimath,30.54658,79.57095,real_weather_anchor+synthetic,1,2026-09-11
V002,Lambagad,Chamoli,,30.5901,79.639,1650,40.3,3.81,43.0,high,5.0,17.6,40.7,2,True,2.518,23.9,9.09,0.5,low,1,Local elder flagged a recurring pre-monsoon warning sign,Govt School Lambagad,30.5935,79.63774,real_weather_anchor+synthetic,1,2026-09-11
V003,Pipalkoti,Chamoli,,30.4667,79.4667,1265,48.3,3.53,40.3,high,7.1,22.5,57.2,2,False,0.0,0.0,999.0,0.0,not_applicable,0,,Relief Camp Pipalkoti,30.47231,79.46588,real_weather_anchor+synthetic,0,2026-09-11
V004,Reni,Chamoli,,30.5892,79.7213,1850,37.7,0.79,27.4,medium,2.3,46.6,60.5,2,True,1.181,17.1,9.87,0.27,low,1,Community noted birds/wildlife leaving the upper slope area,Reni Panchayat Bhawan,30.58507,79.72454,real_weather_anchor+synthetic,1,2026-09-11
V005,Tapovan,Chamoli,,30.53,79.585,1920,37.3,3.94,63.2,medium,7.4,21.7,39.2,1,True,1.343,13.3,15.77,0.58,medium,0,,Tapovan Community Centre,30.52724,79.57675,real_weather_anchor+synthetic,0,2026-09-11
V006,Kedarnath,Rudraprayag,,30.7346,79.0669,3583,19.7,4.81,79.1,medium,13.6,61.8,45.2,2,True,1.229,16.3,7.77,0.93,low,0,,Kedarnath Base Camp Shelter,30.73899,79.06554,real_weather_anchor+synthetic,0,2026-09-11
V007,Sonprayag,Rudraprayag,,30.6167,78.95,1829,40.1,2.96,62.2,low,11.5,55.5,43.7,0,False,0.0,0.0,999.0,0.0,not_applicable,0,,Sonprayag Transit Shelter,30.6252,78.95162,real_weather_anchor+synthetic,0,2026-09-11
V008,Guptkashi,Rudraprayag,,30.5333,79.0833,1319,28.9,3.0,21.5,high,6.7,42.8,53.0,2,False,0.0,0.0,999.0,0.0,not_applicable,1,Unusual stream sound/flow change reported by residents,Guptkashi Govt School,30.53208,79.07373,real_weather_anchor+synthetic,0,2026-09-11
V009,Chamba,Tehri Garhwal,,30.3667,78.4833,1676,48.1,4.49,29.1,medium,3.2,12.9,63.5,0,False,0.0,0.0,999.0,0.0,not_applicable,1,Spring water near the village turned cloudy/muddy,Chamba Relief Centre,30.3613,78.47405,climatological_estimate+synthetic,0,2026-09-11
V010,Ghansali,Tehri Garhwal,,30.3833,78.6333,1150,37.2,1.92,73.9,high,5.0,9.6,47.4,2,False,0.0,0.0,999.0,0.0,not_applicable,0,,Ghansali Community Hall,30.39113,78.63827,climatological_estimate+synthetic,0,2026-09-11
V011,Uttarkashi Town,Uttarkashi,,30.73,78.45,1352,50.6,4.48,53.7,medium,10.2,26.6,62.4,2,False,0.0,0.0,999.0,0.0,not_applicable,0,,Uttarkashi District Shelter,30.72307,78.44359,climatological_estimate+synthetic,0,2026-09-11
V012,Bhatwari,Uttarkashi,,30.7833,78.6333,1500,39.0,4.39,32.8,medium,9.0,41.7,45.5,3,False,0.0,0.0,999.0,0.0,not_applicable,0,,Bhatwari Panchayat Ghar,30.78492,78.6273,climatological_estimate+synthetic,0,2026-09-11
V013,Kalpa,Kinnaur (HP),,31.5375,78.2588,2960,47.2,3.61,68.0,low,3.1,22.7,46.4,0,True,2.488,21.5,20.46,0.71,medium,0,,Kalpa Community Shelter,31.53031,78.25718,real_weather_anchor+synthetic,0,2026-09-11
V014,Sangla,Kinnaur (HP),,31.4257,78.2649,2680,53.6,3.02,80.6,high,1.6,14.0,43.6,2,True,1.607,56.9,13.86,0.59,medium,0,,Sangla Relief Camp,31.43305,78.26398,real_weather_anchor+synthetic,1,2026-09-11
V015,Manali,Kullu (HP),,32.2432,77.1892,2050,24.9,1.26,68.5,high,3.1,5.7,44.0,0,True,0.443,60.2,4.89,0.46,low,1,Community noted birds/wildlife leaving the upper slope area,Manali Bus Stand Shelter,32.23669,77.18027,real_weather_anchor+synthetic,1,2026-09-11
V016,Kasol,Kullu (HP),,32.01,77.3145,1640,38.6,3.44,45.6,medium,1.2,2.6,33.3,3,False,0.0,0.0,999.0,0.0,not_applicable,0,,Kasol Community Hall,32.00203,77.32117,real_weather_anchor+synthetic,0,2026-09-11
V017,Aizawl Outskirts,Aizawl (Mizoram),,23.7271,92.7176,1132,17.1,4.63,26.4,high,11.6,23.9,39.3,6,False,0.0,0.0,999.0,0.0,not_applicable,0,,Aizawl Relief Centre,23.7199,92.71716,climatological_estimate+synthetic,0,2026-09-11
V018,Gangtok Rural,East Sikkim,,27.3389,88.6065,1650,31.7,1.24,43.9,medium,14.9,57.2,38.2,1,True,0.907,36.7,18.9,0.48,high,0,,Gangtok Relief Shelter,27.33466,88.6112,real_weather_anchor+synthetic,1,2026-09-11
V019,Lachung,North Sikkim,,27.6891,88.7452,2750,23.1,3.5,75.9,low,15.3,23.0,51.7,0,True,2.496,52.9,13.67,0.78,high,0,,Lachung Community Hall,27.6909,88.7371,real_weather_anchor+synthetic,0,2026-09-11
V020,Munsiyari,Pithoragarh,,30.0668,80.2394,2298,39.6,0.94,56.7,medium,9.5,12.7,60.0,2,True,1.738,29.5,17.37,0.7,low,0,,Munsiyari Govt Inter College,30.06221,80.23668,climatological_estimate+synthetic,1,2026-09-11
